电影名,导演,上映年份,类型,评分,评语,豆瓣链接,来源豆列,,,,同导演的非女性主义代表作,评分2
初步举证 National Theatre Live: Prima Facie,,2022,,9.5,,https://movie.douban.com/subject/35861791/,女性电影TOP300 (ID: 161498552),,,,爱人们,7.1
坠落的审判 Anatomie d'une chute,,2023,,8.7,,https://movie.douban.com/subject/35633650/,女性电影TOP300 (ID: 161498552),,,,索尔菲雷诺之战,7.2
阳光姐妹淘 ??,,2011,,8.8,,https://movie.douban.com/subject/4917726/,女性电影TOP300 (ID: 161498552),,,,摇摆狂潮,8.1
妇女参政论者 Suffragette,,2015,,9.1,,https://movie.douban.com/subject/25821498/,女性电影TOP300 (ID: 161498552),,,,洛克斯,7.5
隐藏人物 Hidden Figures,,2016,,8.9,,https://movie.douban.com/subject/26615208/,女性电影TOP300 (ID: 161498552),,,,圣人文森特,7.7
好东西,,2024,,8.9,,https://movie.douban.com/subject/36154853/,女性电影TOP300 (ID: 161498552),,,,爱情神话,8.1
大法官金斯伯格 RBG,,2018,,9.5,,https://movie.douban.com/subject/27615467/,女性电影TOP300 (ID: 161498552),,,,朱莉娅,8.6
还有明天 C'è ancora domani,,2023,,9.3,,https://movie.douban.com/subject/36445098/,女性电影TOP300 (ID: 161498552),,,,,
沙漠之花 Desert Flower,,2009,,8.8,,https://movie.douban.com/subject/3430271/,女性电影TOP300 (ID: 161498552),,,,一个普通的女人,7.6
我在伊朗长大 Persepolis,,2007,,8.7,,https://movie.douban.com/subject/1962116/,女性电影TOP300 (ID: 161498552),,,,梅子鸡之味,8
嘉年华,,2017,,8.2,,https://movie.douban.com/subject/27019527/,女性电影TOP300 (ID: 161498552),,,,水印街,6.8
泳者之心 Young Woman and the Sea,,2024,,9,,https://movie.douban.com/subject/26656728/,女性电影TOP300 (ID: 161498552),,,,加勒比海盗5：死无对证,7.2
盲山,,2007,,8.8,,https://movie.douban.com/subject/2063528/,女性电影TOP300 (ID: 161498552),,,,盲井,8.8
日本之耻 Japan's Secret Shame,,2018,,9.2,,https://movie.douban.com/subject/30263943/,女性电影TOP300 (ID: 161498552),,,,,
小妇人 Little Women,,2019,,8,,https://movie.douban.com/subject/26348103/,女性电影TOP300 (ID: 161498552),,,,伯德小姐,7.9
苹果,,2007,,6.8,,https://movie.douban.com/subject/1966464/,女性电影TOP300 (ID: 161498552),,,,观音山,7.2
血观音 血觀音,,2017,,8.6,,https://movie.douban.com/subject/27113517/,女性电影TOP300 (ID: 161498552),,,,女朋友·男朋友,7.6
燃烧女子的肖像 Portrait de la jeune fille en feu,,2019,,8.8,,https://movie.douban.com/subject/30257175/,女性电影TOP300 (ID: 161498552),,,,假小子,8
非穷尽列举 National Theatre Live: Inter Alia,,2025,,9.1,,https://movie.douban.com/subject/37293378/,女性电影TOP300 (ID: 161498552),,,,爱人们,7.1
金福南杀人事件始末 ??? ????? ??,,2010,,8.6,,https://movie.douban.com/subject/4826419/,女性电影TOP300 (ID: 161498552),,,,,
过春天,,2018,,7.7,,https://movie.douban.com/subject/27191431/,女性电影TOP300 (ID: 161498552),,,,,
"三块广告牌 Three Billboards Outside Ebbing, Missouri",,2017,,8.7,,https://movie.douban.com/subject/26611804/,女性电影TOP300 (ID: 161498552),,,,杀手没有假期,8.1
斯隆女士 Miss Sloane,,2016,,8.9,,https://movie.douban.com/subject/26703158/,女性电影TOP300 (ID: 161498552),,,,莎翁情史,7.3
海街日记 海街diary,,2015,,8.8,,https://movie.douban.com/subject/25895901/,女性电影TOP300 (ID: 161498552),,,,小偷家族,8.7
82年生的金智英 82?? ???,,2019,,8.6,,https://movie.douban.com/subject/30327842/,女性电影TOP300 (ID: 161498552),,,,,
穿普拉达的女王 The Devil Wears Prada,,2006,,8.2,,https://movie.douban.com/subject/1482072/,女性电影TOP300 (ID: 161498552),,,,兄弟连,9.6
疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,,2015,,8.7,,https://movie.douban.com/subject/3592854/,女性电影TOP300 (ID: 161498552),,,,快乐的大脚,7.6
房间 Room,,2015,,8.7,,https://movie.douban.com/subject/25724855/,女性电影TOP300 (ID: 161498552),,,,弗兰克,7.9
"祝你好运，里奥·格兰德 Good Luck to You, Leo Grande",,2022,,8.1,,https://movie.douban.com/subject/35235813/,女性电影TOP300 (ID: 161498552),,,,52个星期二,6.9
爱情神话,,2021,,8.1,,https://movie.douban.com/subject/35376457/,女性电影TOP300 (ID: 161498552),,,,好东西,8.9
出走的决心,,2024,,8.8,,https://movie.douban.com/subject/36587974/,女性电影TOP300 (ID: 161498552),,,,公园,7.1
养家之人 The Breadwinner,,2017,,8.3,,https://movie.douban.com/subject/26346327/,女性电影TOP300 (ID: 161498552),,,,凯尔经的秘密,8.5
回归 Volver,,2006,,8.2,,https://movie.douban.com/subject/1689787/,女性电影TOP300 (ID: 161498552),,,,关于我母亲的一切,8.5
怦然心动 Flipped,,2010,,9.1,,https://movie.douban.com/subject/3319755/,女性电影TOP300 (ID: 161498552),,,,伴我同行,8.6
相助 The Help,,2011,,8.9,,https://movie.douban.com/subject/3792848/,女性电影TOP300 (ID: 161498552),,,,激乐人心,7.5
道熙呀 ???,,2014,,7.8,,https://movie.douban.com/subject/25762566/,女性电影TOP300 (ID: 161498552),,,,下一个素熙,8.3
下一个素熙 ?? ??,,2022,,8.3,,https://movie.douban.com/subject/35739931/,女性电影TOP300 (ID: 161498552),,,,道熙呀,7.8
弗兰西丝·哈 Frances Ha,,2012,,8.5,,https://movie.douban.com/subject/11527487/,女性电影TOP300 (ID: 161498552),,,,婚姻故事,8.6
卡罗尔 Carol,,2015,,8.4,,https://movie.douban.com/subject/10757577/,女性电影TOP300 (ID: 161498552),,,,远离天堂,7.8
正发生 L'événement,,2021,,8.2,,https://movie.douban.com/subject/35318021/,女性电影TOP300 (ID: 161498552),,,,,
"四月三周两天 4 luni, 3 s?pt?mani ?i 2 zile",,2007,,8.3,,https://movie.douban.com/subject/2078989/,女性电影TOP300 (ID: 161498552),,,,毕业会考,8.2
我能说 ?? ? ???,,2017,,8.8,,https://movie.douban.com/subject/27000061/,女性电影TOP300 (ID: 161498552),,,,恋爱操作团,7.4
芭比 Barbie,,2023,,8,,https://movie.douban.com/subject/4058939/,女性电影TOP300 (ID: 161498552),,,,小妇人,8
季春奶奶 ????,,2016,,8.5,,https://movie.douban.com/subject/26307755/,女性电影TOP300 (ID: 161498552),,,,,
成为简·奥斯汀 Becoming Jane,,2007,,8.3,,https://movie.douban.com/subject/1920805/,女性电影TOP300 (ID: 161498552),,,,故园风雨后,7.5
她在愤怒时最美 She's Beautiful When She's Angry,,2014,,9.5,,https://movie.douban.com/subject/26200629/,女性电影TOP300 (ID: 161498552),,,,,
垫底辣妹 ビリギャル,,2015,,8.3,,https://movie.douban.com/subject/26259677/,女性电影TOP300 (ID: 161498552),,,,泪光闪闪,8
汉娜·阿伦特 Hannah Arendt,,2012,,8.2,,https://movie.douban.com/subject/10748498/,女性电影TOP300 (ID: 161498552),,,,玫瑰围墙,8.3
生门,,2016,,8.8,,https://movie.douban.com/subject/26836588/,女性电影TOP300 (ID: 161498552),,,,好死不如赖活着,8.6
珍·古道尔的传奇一生 Jane,,2017,,9.1,,https://movie.douban.com/subject/27115563/,女性电影TOP300 (ID: 161498552),,,,科特·柯本：烦恼的蒙太奇,8.7
印度的女儿 India's Daughter,,2015,,9,,https://movie.douban.com/subject/26336727/,女性电影TOP300 (ID: 161498552),,,,,
立春,,2007,,8.4,,https://movie.douban.com/subject/3036997/,女性电影TOP300 (ID: 161498552),,,,孔雀,8.1
网络炼狱：揭发N号房 ??? ??: n??? ?????,,2022,,7.4,,https://movie.douban.com/subject/35874097/,女性电影TOP300 (ID: 161498552),,,,,
她说 She Said,,2022,,7.8,,https://movie.douban.com/subject/35493136/,女性电影TOP300 (ID: 161498552),,,,离经叛道,8.7
水果硬糖 Hard Candy,,2005,,7.5,,https://movie.douban.com/subject/1484091/,女性电影TOP300 (ID: 161498552),,,,暮光之城3：月食,6.9
素媛 ??,,2013,,9.3,,https://movie.douban.com/subject/21937452/,女性电影TOP300 (ID: 161498552),,,,王的男人,7.6
永恒记忆 Maria Larssons eviga ?gonblick,,2008,,8.2,,https://movie.douban.com/subject/3154392/,女性电影TOP300 (ID: 161498552),,,,大移民,8.3
热辣滚烫,,2024,,7.5,,https://movie.douban.com/subject/36081094/,女性电影TOP300 (ID: 161498552),,,,你好，李焕英,7.6
致真理 ????,,2023,,8.7,,https://movie.douban.com/subject/36546883/,女性电影TOP300 (ID: 161498552),,,,,
女也 Woman,,2019,,9.4,,https://movie.douban.com/subject/34679722/,女性电影TOP300 (ID: 161498552),,,,家园,9.2
美利坚女士 Taylor Swift: Miss Americana,,2020,,8.7,,https://movie.douban.com/subject/34907421/,女性电影TOP300 (ID: 161498552),,,,事后烟,7.5
瓦嘉达 ????,,2012,,8.3,,https://movie.douban.com/subject/11528256/,女性电影TOP300 (ID: 161498552),,,,玛丽·雪莱,6.8
妈妈！,,2022,,7.6,,https://movie.douban.com/subject/34954093/,女性电影TOP300 (ID: 161498552),,,,春潮,7.2
气球,,2019,,7.7,,https://movie.douban.com/subject/30204413/,女性电影TOP300 (ID: 161498552),,,,塔洛,7.7
寻找薇薇安·迈尔 Finding Vivian Maier,,2013,,8.8,,https://movie.douban.com/subject/21356379/,女性电影TOP300 (ID: 161498552),,,,,
琳达想吃鸡肉！ Linda veut du poulet !,,2023,,8,,https://movie.douban.com/subject/35432330/,女性电影TOP300 (ID: 161498552),,,,无手的少女,7.6
性别为本 On the Basis of Sex,,2018,,7.9,,https://movie.douban.com/subject/26385514/,女性电影TOP300 (ID: 161498552),,,,天地大冲撞,7.2
想象之光 All We Imagine as Light,,2024,,7.5,,https://movie.douban.com/subject/35965772/,女性电影TOP300 (ID: 161498552),,,,无知之夜,7.6
月事革命 Period. End of Sentence.,,2018,,7.9,,https://movie.douban.com/subject/30433802/,女性电影TOP300 (ID: 161498552),,,,,
二十世纪女人 20th Century Women,,2016,,7.7,,https://movie.douban.com/subject/26389928/,女性电影TOP300 (ID: 161498552),,,,初学者,7.8
海鸥食堂 かもめ食堂,,2006,,8.3,,https://movie.douban.com/subject/1892578/,女性电影TOP300 (ID: 161498552),,,,眼镜,8.1
冰雪奇缘 Frozen,,2013,,8.5,,https://movie.douban.com/subject/4202982/,女性电影TOP300 (ID: 161498552),,,,无敌破坏王,8.7
瞬息全宇宙 Everything Everywhere All at Once,,2022,,7.6,,https://movie.douban.com/subject/30314848/,女性电影TOP300 (ID: 161498552),,,,瑞士军刀男,7.8
诉讼 ?? - ????? ?? ?????? ??????,,2014,,8.1,,https://movie.douban.com/subject/25687245/,女性电影TOP300 (ID: 161498552),,,,七天丧期,7.6
女人世界,,2024,,8.4,,https://movie.douban.com/subject/35183325/,女性电影TOP300 (ID: 161498552),,,,,
女性瘾者：第一部 Nymphomaniac: Volume I,,2013,,7.9,,https://movie.douban.com/subject/6827727/,女性电影TOP300 (ID: 161498552),,,,狗镇,8.4
"德菲因与卡罗尔：反叛缪斯 Delphine et Carole, insoumuses",,2019,,9.2,,https://movie.douban.com/subject/30447702/,女性电影TOP300 (ID: 161498552),,,,,
魔女 ??,,2018,,7.7,,https://movie.douban.com/subject/26602900/,女性电影TOP300 (ID: 161498552),,,,新世界,8.6
小森林 冬春篇 リトル?フォレスト 冬?春,,2015,,9,,https://movie.douban.com/subject/25814707/,女性电影TOP300 (ID: 161498552),,,,重力小丑,8
二十二,,2015,,8.7,,https://movie.douban.com/subject/26430107/,女性电影TOP300 (ID: 161498552),,,,三十二,9
