书名,书籍豆瓣ID,评论内容,评论评分,评论时间,有用数
大众文化的女性主义指南,36930643,“女性几乎走在荆棘之路上，男性却做什么都容易获得掌声”,,,0
大众文化的女性主义指南,36930643,我覺得唯一遺憾的是引進出版的太晚了，如果韓國出版後沒多久就能在國內出版，能夠更快更早地影響更多人。而書出版後的五年，韓國文娛圈乃至世界發生的變化與議題，值得探討與研究的更加多，例如瘋馬秀、Newjeans、神奇女俠2、芭比等等。m我也很想看對這五年裡生產的女性主導的電視劇、綜藝的看法。播客的內容比較輕量，所以比較好讀，請來的嘉賓大多是研究者，有點像論文匯報閒聊版，很快速地總結了觀點，但每一個章節所探討的話題都是可以值得深入去研究的。（例如女工文學、女性在遊戲行業、女性榜樣）比較開心的是書裡的這些作者們在討論女性話題時，也有提到其他遭受不公的群體。劃重點：過去社會是踩在為家庭犧牲的母親背上來維持的，現在變成踩著女性非正式員工來維持。,user-stars,,0
大众文化的女性主义指南,36930643,一直讨厌对谈类的形式，但很喜欢这本“播客文字化”的书。可以非常明显看出女嘉宾与男的区别，女性总是细致地去贴近女性的处境，男嘉宾却绕开具体的人讲大而空的话（幸好只有最后这一篇）。谈到综艺、影视剧、女团、女性劳工，色情产业等话题，节奏很快，用词比较直接、犀利，因为不会偏袒男性或为他们找借口，并且体量轻巧，所以是既可以引起思考又可以安心、轻松读完的一本书。文字充满力量，同处恶劣程度不相上下的东亚文化圈，韩女还是更有斗志，也真正地在以身作则进行着变革，喜欢这样不美化现实，干脆利落地行动起来的女性们。以及那句“阅读世界文学，那些作家像闪烁在天空的星星。为什么我却像猪一样生活？”令我笑笑又哭了。,user-stars,,0
大众文化的女性主义指南,36930643,刚刚开始看内心暗暗吐槽，不会吧，又是噱头？结果越看越上头，一口气看完，真的可以称之为“指南”!感觉在看一部女性主义思考领域的上乘短剧，搭配闺蜜毒舌吐槽，快节奏，爽，直接，厌女症结给得很彻底，我最开始的傲慢思维也被击碎，重新落实了一番。是适合当代快节奏领域大家认识文化中厌女现象的不二之选，感觉自己在做一套厌女的体检与考卷，信息接收，比对，自我检验，从基本知识点考察我对于网络现象、大众文化中厌女的敏感度，新的符号化名词解读，然后进行小组讨论，更多的素材案例分析，专家解读。（笑）查漏补缺的过程好有趣，一种考试基因莫名奇妙被触发了。老师们啊，我喜欢你们的直接和毒舌!orz。,user-stars,,0
大众文化的女性主义指南,36930643,读这本书的时候我总会想起浪姐。记得当初浪姐还没开始的时候就有男艺人抱怨为啥没有哥哥的节目，真是可恶极了，好不容易有一个纯女性的综艺，男人就受不了了？结果没多久，哥哥就出来了。我一直很奇怪的是，相比之下，浪姐里面的姐姐就只能唱跳，而哥哥又可以创作又可以自由选择，看起来似乎他们更有才华，难道就没有女性唱作人吗？再仔细看，就连姐姐们住的屋子也没有哥哥的大，姐姐一直苦逼练舞，哥哥们又可以搞派对，又可以玩乐队还可以打游戏，在里面那叫一个悠哉。看起来他们更松弛，更团结，可能性更多。而这一切，都是节目组精心打造的。,user-stars,,0
大众文化的女性主义指南,36930643,结合最近被私信辱骂的经历，我又有了十分丰富的、书以外的、配合理解素材。,user-stars,,0
大众文化的女性主义指南,36930643,引进再晚也是极其超前的,user-stars,,0
大众文化的女性主义指南,36930643,韩女们已经开始指出韩综的“全男”问题了，作为“复制”了人家不少点子的内娱，要不要也来检讨一下？看了这本书才知道，原来和歧视性的“妈虫”对应，居然有个褒奖性的称呼叫“拿铁爸爸”（一手推婴儿车一手端咖啡的所谓“帅气奶爸”），韩男真会给自己脸上贴金啊！别谈什么东亚三国手拉手了，先团结起来守护这些勇于表达的韩女吧！结合现实生活，如果我买不到全女脱口秀专场，我也希望尽量消费男女比例均衡的拼盘。我们想创造“女人的笑声就是要穿墙透壁”的世界，一个可坦然做“花蛇”（坏女人）的世界，一个不再需要“热情劳动”乃至“死亡劳动”的世界。强烈推荐“女革命家与女工文学”这一章，触及的深度令人眼前一亮。如果有朋友想问，中文世界是否有类似用女性主义视角探讨大众文化的播客，我将再次推荐粒粒的“Womansplaining”！,user-stars,,0
大众文化的女性主义指南,36930643,几乎是一本答案之书，很多韩国的讨论可以100%对应到中国的新闻和文化生活中。比如一针见血指出已婚女性在综艺中如果与男性同事亲密相处，会被恶评；《创造101》的一年合约实际也是一种灵活用工经济的压榨；色情业女性没有身体拘禁，但被各种医美债务隐形剥削；游戏业是韩国最赚钱也最厌女的文化行业。等等等等。总有一种读得恍然大悟的感觉，播客对话形式又比常规文化评论读起来更轻松。,user-stars,,0
大众文化的女性主义指南,36930643,解释了为什么我看韩综总有一股强烈的不适感。是爹味十足的男艺人们又在耍宝了。。。,user-stars,,0
大众文化的女性主义指南,36930643,有新意，这本是完全从具体的韩国综艺、韩剧、电影出发，来讲韩国的性别问题。因为对谈的嘉宾都达成共识：综艺就是最体现大众文化的，社会的缩影都在里面。以男性为压倒性数量的韩综，能混进来的女性艺人少之又少。还有女团的强烈剥削性，苛刻到畸形的身材管理。最后也讲到了互联网，也是韩国性别问题的战场，嘉宾说互联网并没有催生厌女，它只是反应了本来就在的厌女。可能因为是播客对谈的文字整理，感觉韩国女性主义的活动者是中日韩里面说话最犀利的。,user-stars,,0
大众文化的女性主义指南,36930643,用女性主义的视角和理论从韩男综艺、KPOP女团、影视作品一路炮轰到色情产业，确实担得起大众文化的女性主义指南这个标题。我曾经也喜欢看极限挑战和爸爸去哪儿，喜欢朴赞郁的电影，容易被“女儿奴”“搞笑男”的表面迷惑，享受着影视综艺带来的娱乐，忽视或者不愿思考这些大热文化背后被隐藏、歪曲、剔除甚至攻击的女性。厌女现象并不是刻意回避就可以假装不存在，对不合理的社会常态我们应该保持质疑并大胆发声，改变就会发生。（除了书籍本来的注释，本书还加入了大量且详尽的编者注，解释由于文化差异可能造成理解困难的事件背景和流行语，在我心里大大大加分）,user-stars,,0
大众文化的女性主义指南,36930643,本来只是放在购物车，看到incel打一星还辱骂作者只能打五星平衡一下^^,user-stars,,0
大众文化的女性主义指南,36930643,在男性泛滥的世界，更需要听到女性的声音，尤其是东亚国家，女性的生存处境更加的艰难和残酷。对韩国的女性主义发展的认识，韩国女性在实践上远大于理论上的抗争，从生育率倒数第一的数据，到韩国女性各种与韩国男性决裂的态度，再到女性友谊、girls help girls中的N号房事件、对deep fake的抗议反对等等，让我们看到了韩国女性们彼此的连接与同一阵营的勇敢抗争，越来越多的女性从暗影中显现，书写自己的故事，书写女性的历史。所谓“大众文化的女性主义”是更加聚焦到关系每个人的文化现象，尤其是需要加入一种性别的视角去看待，女性主义就是提供了这样一种思考社会病症的新视角，或许有人会诟病这种唯·女性视角的介入方式，但受限于这样一种性别环境（父权制文化的无孔不入），所以这种女性视角是必要且有力的精神武器。,user-stars,,0
大众文化的女性主义指南,36930643,打开书是韩国，合上书是老中，东亚三国手牵手谁也别看不起谁,user-stars,,0
大众文化的女性主义指南,36930643,简中太晚了。这么时下的话题，书里全是2016年的事，要是那时能看到或者新书有关于23或24年的话题就好了。虽然看韩综超过十年，之前却从没有系统性讨论这样的话题。女子足球、地乐室，第六感等全女综艺大获成功，打算去搜播客听她们现在的想法。（但这两年大赏又给刘在石，全炫茂，真是很无聊,user-stars,,0
大众文化的女性主义指南,36930643,东亚三国女性的境况极其相似，因此这本书里谈到的韩国大众文化问题，例如综艺/电影中女性的缺失，女明星/女爱豆艰难的生存环境，以及互联网/游戏中大量存在的性化女性和厌女倾向，其实在我们这里几乎可以完全一一对应。由于文本是由播客转录而来，一则内容较浅，二则在我看来有些松散，不够抓人，可能用播客这种可以察觉语气的“听”的方式呈现还是会更好。p.s. 读完知道了朴赞郁的《小姐》居然是改编自《Fingersmith》还是惊了一下，这两个作品我都看过，但完全联想不到一块去。,user-stars,,0
大众文化的女性主义指南,36930643,这是基于一档播客而产生的一本女权主义书籍，本播客爱好者狠狠心动了。书中提到的“但所谓大众文化，就是大众很容易接触到的文化啊。文化之所以可怕，正因为它强烈地、润物无声地影响着我们的精神和思考方式，因此，我认为不批判性地看待是不行的。电视拥有权力，大众媒体拥有权力。”这句话，解开了我最近半年的困惑，网络和电视中难以看见让我们女性身心舒畅的女性角色，就连《热辣滚烫》、《出走的决心》如此温和的电影都被批判和恶意打低分，最近的《山花烂漫时》更是引来一星恶评。荧幕上的女性形象越丰富，现实中的女性才会越自由！正如这本书所说的，“更多的声音”永远是通向全新世界的路径。我们需要更多的声音！,user-stars,,0
大众文化的女性主义指南,36930643,2025.8.6-8.19 居然是十年前的播客内容，现在这些观点也是完全不过时。十年过去，似乎是有那么一点点改变，但似乎又微弱得看不见。,user-stars,,0
大众文化的女性主义指南,36930643,看这本书的时候一直在反思，重新审视爱豆、综艺和电影这些我以为很了解但其实一直被局限的视界里。在这本书之后的时间里发生了很多事，朴赞郁拍了《分手的决心》、全女综艺《Biong Biong地球游戏厅》大火、Newjeans和闵熙珍与Hybe解约，这些又是怎样代表女权意识的进步，又怎样映射了韩国依旧被男性主导的娱乐圈的反省和压迫的，都想还继续听听她们怎么说。,user-stars,,0
明亮的夜晚,36457094,所描述的母女关系太感同身受了：互相担心，互相恐惧，互相怨恨，互相羁绊，最后放手地过着遥远相爱的余生。,,,0
明亮的夜晚,36457094,“我一旦和妈妈待久了，就会说出伤人的话”，东亚女儿们共享同一种生活。,user-stars,,0
明亮的夜晚,36457094,没有一个东亚女读这本书不会流泪 女性的人生被男性分割 然后一生都在默默尝试拼凑这些碎片 我们学历史 男性的痛苦是什么 是负屈含冤 是成王败寇 是怀才不遇 是壮志未酬 是英雄迟暮 是一将功成万骨枯 那几乎从未被记载过的女性的痛苦呢 是存在本身 是服从 是忍耐 是无法接纳的自己 被压抑的情感 只能接受的不公 需要自己消化的痛苦 明明见过光明却必须要舍弃 然后沉默着走进永恒的黑夜 为了让自己能够活下去而掐断自己拥有的真正的爱 来自女性之间的爱才是真正的爱 三川 新雨 英玉 喜子 明淑 美仙 正妍 智妍 智友 她们真正地爱着彼此 互相拥抱 也互相伤害 互相支撑着活下去 你创造了我 我成为了你 我不想以后只能思念过去的我们 苟延残喘 我想永远都能牵着你的手 再拥抱自己,user-stars,,0
明亮的夜晚,36457094,很短的篇幅写了四代女人。希望看到电影。,user-stars,,0
明亮的夜晚,36457094,又重读了一些喜欢的段落，改成5星吧。要记得走得更远,user-stars,,0
明亮的夜晚,36457094,走进别人潮湿的人生，淋了一场雨，带着潮气回归现实,user-stars,,0
明亮的夜晚,36457094,无论三岁的我十七岁的我三十岁的我都是我，他们都在等着我而不是其他人的安慰和拥抱。,user-stars,,0
明亮的夜晚,36457094,祖孙两人多年后的重聚，牵出了曾祖母、祖母、母亲与“我”四代女人的情感故事，这故事不但跨越整个半岛，也横亘百年风云，而且还是完全女性视角的讲述，既细腻又绵长。应该说在东亚传统父权社会里，书中男性角色的集体缺席或模糊，有战争、乱世的身不由己，也有背德、出轨等艺术处理，但作为读者却并没有从中读出太多刻意，反而会被她们之前的情绪张力所吸引和感染，庆幸那些男性的缺席或模糊，珍视属于她们自己的空间与和解。就像作者书名所喻，若这人世漫漫如长夜，女性的独立与自我，无疑是其中最明亮的光色。,user-stars,,0
明亮的夜晚,36457094,评论里一看性别真是一抓一个准笑鼠,user-stars,,0
明亮的夜晚,36457094,“爸爸，您去死吧。死掉吧，不要再出现在我们眼前……您死了我不会掉一滴泪，也不会去给您上坟。”这是祖母的真心话，也是女儿的真心话。除了新雨大叔，父亲皆是掌权却不可依靠，犯错却从不内疚，享受却从不付出。所以女儿说:不如死了。更心痛的恐怕是，父亲不管死或没死，都成为母女之间的刺。母亲若也走错了路，为虎作伥去，女儿能拿她怎么办呢？以智妍这一代来看，女儿与父的断绝是彻底的，因为父常从未爱过和亲近女儿，女儿与母亲则总是藕断丝连，又是互相伤害又互相牵挂。,user-stars,,0
明亮的夜晚,36457094,“她一生都是这样，即便浑身颤抖着，也要牵着我的手往前走。妈妈是我一生中最爱的人，即使她怕得发抖，还是步履不停。我想变得像妈妈那样。” 崔恩荣笔下的母女情和朋友情都太动人了，写到婚姻和男人出轨也仿佛那只是背景板，是女人们当时的逃避之路以及之后心灵成长的契机。我因为这点尊敬崔恩荣。“三川啊。”人一生能有一个这样呼唤着自己名字的朋友是多幸运的事啊。,user-stars,,0
明亮的夜晚,36457094,我感觉好幸福，之前看类似的女性书籍时，我总是会因为女性的苦难而哭，心想着女性怎么这么难啊，这本书虽然也苦，但是我每次哭泣的时候都是因为里面所传达出来的女性爱意，爱意从书中穿越出来，仿佛治愈了小小的我，叛逆期的我，现在的我。对于书里描写的每种困境每种冷漠，是每一个女性共同面临的，但是我相信，我们总会有一天脱离这些，真真正正解放出来，成为我们自己。,user-stars,,0
