电影名,导演,上映年份,类型,评分,评语,豆瓣链接,来源豆列
初步举证 National Theatre Live: Prima Facie,,2022,,9.5,,https://movie.douban.com/subject/35861791/,女性电影TOP300 (ID: 161498552)
坠落的审判 Anatomie d'une chute,,2023,,8.7,,https://movie.douban.com/subject/35633650/,女性电影TOP300 (ID: 161498552)
阳光姐妹淘 써니,,2011,,8.8,,https://movie.douban.com/subject/4917726/,女性电影TOP300 (ID: 161498552)
妇女参政论者 Suffragette,,2015,,9.1,,https://movie.douban.com/subject/25821498/,女性电影TOP300 (ID: 161498552)
隐藏人物 Hidden Figures,,2016,,8.9,,https://movie.douban.com/subject/26615208/,女性电影TOP300 (ID: 161498552)
好东西,,2024,,8.9,,https://movie.douban.com/subject/36154853/,女性电影TOP300 (ID: 161498552)
大法官金斯伯格 RBG,,2018,,9.5,,https://movie.douban.com/subject/27615467/,女性电影TOP300 (ID: 161498552)
还有明天 C'è ancora domani,,2023,,9.3,,https://movie.douban.com/subject/36445098/,女性电影TOP300 (ID: 161498552)
沙漠之花 Desert Flower,,2009,,8.8,,https://movie.douban.com/subject/3430271/,女性电影TOP300 (ID: 161498552)
我在伊朗长大 Persepolis,,2007,,8.7,,https://movie.douban.com/subject/1962116/,女性电影TOP300 (ID: 161498552)
嘉年华,,2017,,8.2,,https://movie.douban.com/subject/27019527/,女性电影TOP300 (ID: 161498552)
泳者之心 Young Woman and the Sea,,2024,,9.0,,https://movie.douban.com/subject/26656728/,女性电影TOP300 (ID: 161498552)
盲山,,2007,,8.8,,https://movie.douban.com/subject/2063528/,女性电影TOP300 (ID: 161498552)
日本之耻 Japan's Secret Shame,,2018,,9.2,,https://movie.douban.com/subject/30263943/,女性电影TOP300 (ID: 161498552)
小妇人 Little Women,,2019,,8.0,,https://movie.douban.com/subject/26348103/,女性电影TOP300 (ID: 161498552)
苹果,,2007,,6.8,,https://movie.douban.com/subject/1966464/,女性电影TOP300 (ID: 161498552)
血观音 血觀音,,2017,,8.6,,https://movie.douban.com/subject/27113517/,女性电影TOP300 (ID: 161498552)
燃烧女子的肖像 Portrait de la jeune fille en feu,,2019,,8.8,,https://movie.douban.com/subject/30257175/,女性电影TOP300 (ID: 161498552)
非穷尽列举 National Theatre Live: Inter Alia,,2025,,9.1,,https://movie.douban.com/subject/37293378/,女性电影TOP300 (ID: 161498552)
金福南杀人事件始末 김복남 살인사건의 전말,,2010,,8.6,,https://movie.douban.com/subject/4826419/,女性电影TOP300 (ID: 161498552)
过春天,,2018,,7.7,,https://movie.douban.com/subject/27191431/,女性电影TOP300 (ID: 161498552)
"三块广告牌 Three Billboards Outside Ebbing, Missouri",,2017,,8.7,,https://movie.douban.com/subject/26611804/,女性电影TOP300 (ID: 161498552)
斯隆女士 Miss Sloane,,2016,,8.9,,https://movie.douban.com/subject/26703158/,女性电影TOP300 (ID: 161498552)
海街日记 海街diary,,2015,,8.8,,https://movie.douban.com/subject/25895901/,女性电影TOP300 (ID: 161498552)
82年生的金智英 82년생 김지영,,2019,,8.6,,https://movie.douban.com/subject/30327842/,女性电影TOP300 (ID: 161498552)
穿普拉达的女王 The Devil Wears Prada,,2006,,8.2,,https://movie.douban.com/subject/1482072/,女性电影TOP300 (ID: 161498552)
疯狂的麦克斯4：狂暴之路 Mad Max: Fury Road,,2015,,8.7,,https://movie.douban.com/subject/3592854/,女性电影TOP300 (ID: 161498552)
房间 Room,,2015,,8.7,,https://movie.douban.com/subject/25724855/,女性电影TOP300 (ID: 161498552)
"祝你好运，里奥·格兰德 Good Luck to You, Leo Grande",,2022,,8.1,,https://movie.douban.com/subject/35235813/,女性电影TOP300 (ID: 161498552)
爱情神话,,2021,,8.1,,https://movie.douban.com/subject/35376457/,女性电影TOP300 (ID: 161498552)
出走的决心,,2024,,8.8,,https://movie.douban.com/subject/36587974/,女性电影TOP300 (ID: 161498552)
养家之人 The Breadwinner,,2017,,8.3,,https://movie.douban.com/subject/26346327/,女性电影TOP300 (ID: 161498552)
回归 Volver,,2006,,8.2,,https://movie.douban.com/subject/1689787/,女性电影TOP300 (ID: 161498552)
怦然心动 Flipped,,2010,,9.1,,https://movie.douban.com/subject/3319755/,女性电影TOP300 (ID: 161498552)
相助 The Help,,2011,,8.9,,https://movie.douban.com/subject/3792848/,女性电影TOP300 (ID: 161498552)
道熙呀 도희야,,2014,,7.8,,https://movie.douban.com/subject/25762566/,女性电影TOP300 (ID: 161498552)
下一个素熙 다음 소희,,2022,,8.3,,https://movie.douban.com/subject/35739931/,女性电影TOP300 (ID: 161498552)
弗兰西丝·哈 Frances Ha,,2012,,8.5,,https://movie.douban.com/subject/11527487/,女性电影TOP300 (ID: 161498552)
卡罗尔 Carol,,2015,,8.4,,https://movie.douban.com/subject/10757577/,女性电影TOP300 (ID: 161498552)
正发生 L'Événement,,2021,,8.2,,https://movie.douban.com/subject/35318021/,女性电影TOP300 (ID: 161498552)
"四月三周两天 4 luni, 3 săptămâni și 2 zile",,2007,,8.3,,https://movie.douban.com/subject/2078989/,女性电影TOP300 (ID: 161498552)
我能说 아이 캔 스피크,,2017,,8.8,,https://movie.douban.com/subject/27000061/,女性电影TOP300 (ID: 161498552)
芭比 Barbie,,2023,,8.0,,https://movie.douban.com/subject/4058939/,女性电影TOP300 (ID: 161498552)
季春奶奶 계춘할망,,2016,,8.5,,https://movie.douban.com/subject/26307755/,女性电影TOP300 (ID: 161498552)
成为简·奥斯汀 Becoming Jane,,2007,,8.3,,https://movie.douban.com/subject/1920805/,女性电影TOP300 (ID: 161498552)
她在愤怒时最美 She's Beautiful When She's Angry,,2014,,9.5,,https://movie.douban.com/subject/26200629/,女性电影TOP300 (ID: 161498552)
垫底辣妹 ビリギャル,,2015,,8.3,,https://movie.douban.com/subject/26259677/,女性电影TOP300 (ID: 161498552)
汉娜·阿伦特 Hannah Arendt,,2012,,8.2,,https://movie.douban.com/subject/10748498/,女性电影TOP300 (ID: 161498552)
生门,,2016,,8.8,,https://movie.douban.com/subject/26836588/,女性电影TOP300 (ID: 161498552)
珍·古道尔的传奇一生 Jane,,2017,,9.1,,https://movie.douban.com/subject/27115563/,女性电影TOP300 (ID: 161498552)
印度的女儿 India's Daughter,,2015,,9.0,,https://movie.douban.com/subject/26336727/,女性电影TOP300 (ID: 161498552)
立春,,2007,,8.4,,https://movie.douban.com/subject/3036997/,女性电影TOP300 (ID: 161498552)
网络炼狱：揭发N号房 사이버 지옥: n번방을 무너뜨려라,,2022,,7.4,,https://movie.douban.com/subject/35874097/,女性电影TOP300 (ID: 161498552)
她说 She Said,,2022,,7.8,,https://movie.douban.com/subject/35493136/,女性电影TOP300 (ID: 161498552)
水果硬糖 Hard Candy,,2005,,7.5,,https://movie.douban.com/subject/1484091/,女性电影TOP300 (ID: 161498552)
素媛 소원,,2013,,9.3,,https://movie.douban.com/subject/21937452/,女性电影TOP300 (ID: 161498552)
永恒记忆 Maria Larssons eviga ögonblick,,2008,,8.2,,https://movie.douban.com/subject/3154392/,女性电影TOP300 (ID: 161498552)
热辣滚烫,,2024,,7.5,,https://movie.douban.com/subject/36081094/,女性电影TOP300 (ID: 161498552)
致真理 진리에게,,2023,,8.7,,https://movie.douban.com/subject/36546883/,女性电影TOP300 (ID: 161498552)
女也 Woman,,2019,,9.4,,https://movie.douban.com/subject/34679722/,女性电影TOP300 (ID: 161498552)
美利坚女士 Taylor Swift: Miss Americana,,2020,,8.7,,https://movie.douban.com/subject/34907421/,女性电影TOP300 (ID: 161498552)
瓦嘉达 وجدة,,2012,,8.3,,https://movie.douban.com/subject/11528256/,女性电影TOP300 (ID: 161498552)
